,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
6302,30b03d48-5c70-4c4f-a2b9-2f5bc3cb2dab,601526,Landing Page Submission,Google,No,No,1,11.0,222,2.75,Page Visited on Website,India,Supply Chain Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
6332,074e3617-420a-47da-9158-5cddd167b7ca,601334,Landing Page Submission,Google,No,No,1,5.0,583,5.0,SMS Sent,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
6368,59306794-fa88-4bac-91e3-a87d4ecdfb83,601070,Landing Page Submission,Google,No,No,1,4.0,686,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
6379,6ba08215-2d9c-4fdf-baef-73586fd7d630,600979,Landing Page Submission,Google,No,No,1,3.0,1329,3.0,SMS Sent,India,Rural and Agribusiness,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
6402,2b09fd31-9a58-41bd-a965-6762cf307810,600829,Landing Page Submission,Google,No,No,0,4.0,1382,2.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,Yes,Email Opened
6452,48a1349e-646b-437b-8380-e20bdc72e8b7,600505,Landing Page Submission,Google,No,No,1,5.0,639,5.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
6488,57d44f8e-9362-457d-beb4-9f9dbc92353d,600114,Landing Page Submission,Google,No,No,0,5.0,158,5.0,Email Opened,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
6534,2f823185-6723-41a4-81d9-a804a4c49bd0,599643,Landing Page Submission,Google,No,No,1,7.0,300,1.75,SMS Sent,India,Business Administration,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
6539,51611c50-ef45-4d09-a371-895e6e0381e7,599608,Landing Page Submission,Google,No,No,0,1.0,367,1.0,Converted to Lead,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Modified
6586,c3376b8a-6b72-45ff-bcf4-daa15be9102b,599270,Landing Page Submission,Direct Traffic,No,No,1,5.0,256,5.0,SMS Sent,United Arab Emirates,Operations Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,Potential Lead,Other Cities,No,No,Modified
6589,ef2fd3d6-e72f-4c3c-979b-d77425e93366,599247,Landing Page Submission,Google,No,No,0,5.0,177,5.0,Page Visited on Website,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Might be,No,No,Other Leads,Mumbai,No,No,Modified
6609,f3d22c02-ae86-4b17-9491-9d61d131a056,599070,Landing Page Submission,Direct Traffic,No,No,0,7.0,202,7.0,Page Visited on Website,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Modified
6615,39e86da2-1e89-4ea1-86af-5067a27a433d,599039,Landing Page Submission,Google,No,No,0,7.0,1098,2.33,Converted to Lead,India,Business Administration,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
6627,8ae969d5-70a5-405a-82d2-979156d5139f,598950,Landing Page Submission,Organic Search,No,No,1,2.0,1106,2.0,SMS Sent,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,SMS Sent
6670,d32ce90e-687f-4ca1-b41c-22d96db74e19,598694,Landing Page Submission,Google,No,No,0,5.0,60,5.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
6671,518664e7-a6c4-4158-bde5-31b55447356b,598691,Landing Page Submission,Google,No,No,0,2.0,465,2.0,Converted to Lead,United Kingdom,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to Others,Low in Relevance,No,No,Other Leads,Thane & Outskirts,No,No,Modified
6672,b7d30f9f-87e5-4279-b55c-831a4f3a640b,598675,Landing Page Submission,Google,No,No,1,4.0,1005,4.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
6676,6cc9046a-5b94-48b7-8a2e-bc3737a5d5d6,598617,Landing Page Submission,Direct Traffic,No,No,1,3.0,1247,3.0,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
6680,e81b5553-7199-4493-9c7a-09b2511f2143,598596,Landing Page Submission,Organic Search,No,No,0,13.0,217,4.33,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,Yes,Email Opened
6683,0d2cdd3e-a723-4663-9f17-ddb6a675c8e4,598572,Landing Page Submission,Google,No,No,1,5.0,57,2.5,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
6690,0c76dbcb-1b40-4b04-92fb-0427f3e930b4,598501,Landing Page Submission,Google,No,No,0,5.0,282,2.5,Page Visited on Website,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Mumbai,No,No,Modified
6711,0dd4af95-9eea-4ad2-8dde-804752e9130c,598314,Landing Page Submission,Google,No,No,1,4.0,1568,4.0,Email Opened,India,Finance Management,Online Search,Housewife,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
6775,01cb6c3a-4870-4d8e-ab0c-0ec09dfa08bb,597890,Landing Page Submission,Direct Traffic,No,No,0,4.0,432,4.0,Email Opened,India,Marketing Management,Student of SomeSchool,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Email Opened
6829,0629c917-2851-4d2a-ad48-0aafd237d48e,597323,Landing Page Submission,Google,No,No,1,8.0,1061,2.67,SMS Sent,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,Yes,SMS Sent
6843,882b64ad-20f3-41c5-ac19-021afeb8b1f4,597234,Landing Page Submission,Direct Traffic,No,No,1,3.0,1387,3.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
6852,6071901c-d82e-40ff-83d7-33abe8546387,597171,Landing Page Submission,Google,No,No,1,4.0,875,4.0,SMS Sent,India,Operations Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
6886,14492e02-dd67-4aa8-a7ce-7dbfa629588e,596753,Landing Page Submission,Google,No,No,0,5.0,383,5.0,Email Opened,India,Business Administration,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
6918,46d627b3-eaed-4882-97b8-153cfaabccd2,596541,Landing Page Submission,Direct Traffic,No,No,1,3.0,166,3.0,SMS Sent,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,Yes,SMS Sent
7014,3c049e1b-cc76-49d9-a374-688aac742dc9,595811,Landing Page Submission,Google,No,No,1,6.0,969,2.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Mumbai,No,No,Email Opened
7029,06944ebc-2557-4402-aef0-f6e17d2fe39b,595730,Landing Page Submission,Direct Traffic,No,No,0,2.0,24,2.0,Email Opened,India,Business Administration,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
7081,6df179e0-ad96-4188-828a-a192659c4026,595237,Landing Page Submission,Google,No,No,1,3.0,730,3.0,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,Email Opened
7098,b78b3747-b97f-49ea-a34a-c5b6fdac5aec,595075,Landing Page Submission,Google,No,No,1,8.0,1775,2.67,Email Opened,India,Business Administration,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
7126,7a2a0252-1c30-4692-9810-6b13bbd64929,594803,Landing Page Submission,Google,No,No,1,4.0,1647,4.0,Email Opened,India,E-COMMERCE,Online Search,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Tier II Cities,No,No,Email Opened
7144,89c1b982-9da4-430d-9247-67632b10e56b,594686,Landing Page Submission,Google,No,No,0,3.0,36,3.0,Form Submitted on Website,India,Finance Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Thane & Outskirts,No,No,Modified
7150,9045bb1f-1862-4e57-af12-f64f3815e13b,594646,Landing Page Submission,Google,No,No,1,8.0,735,8.0,Email Opened,India,Supply Chain Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
7166,f755761c-1c67-43c6-b206-b531ba0ebdf0,594523,Landing Page Submission,Google,No,No,1,4.0,752,4.0,Email Opened,India,Finance Management,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
7182,9daaa260-11e8-48eb-a04a-9fb938f78530,594393,Landing Page Submission,Google,No,No,1,4.0,1098,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7193,3acc1a20-3f8d-4f51-9355-0106187aa723,594329,Landing Page Submission,Google,No,No,1,3.0,1839,3.0,Email Opened,India,Marketing Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
7224,28995bd2-4a29-4e3a-9c3e-4aa874a7fc93,594024,Landing Page Submission,Google,Yes,No,0,5.0,497,5.0,Unsubscribed,India,E-Business,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Other Cities,No,Yes,Unsubscribed
7238,9ed7687b-e785-452d-afe2-45d09d6e8ce6,593945,Landing Page Submission,Direct Traffic,No,No,1,5.0,1062,2.5,Email Opened,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
7259,9a79f56e-389f-4ff7-aa62-c98c0670af9d,593824,Landing Page Submission,Google,No,No,1,4.0,1500,4.0,SMS Sent,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
7267,bb0dc51a-1e28-424e-a0ce-a4f4bc7f7fed,593789,Landing Page Submission,Direct Traffic,No,No,1,10.0,1360,5.0,Email Opened,India,Travel and Tourism,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
7316,9ece72a5-2bcd-43dd-8472-230c678acc19,593309,Landing Page Submission,Google,No,No,1,3.0,1141,3.0,Email Opened,India,Supply Chain Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7358,530df4a0-8d58-4b84-8ec8-285f20346b8c,592991,Landing Page Submission,Google,No,No,0,4.0,370,4.0,Converted to Lead,India,Travel and Tourism,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Thane & Outskirts,No,No,Modified
7409,7dd7e7cf-e80e-4237-8c56-684e65d03694,592683,Landing Page Submission,Direct Traffic,No,No,1,5.0,1290,1.67,Page Visited on Website,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Page Visited on Website
7415,5967c360-0573-4130-a9cf-5ec584cf341f,592654,Landing Page Submission,Google,No,No,0,4.0,74,4.0,Email Link Clicked,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
7422,2048d69e-c5dc-44b1-85d7-ead4b83df365,592599,API,Google,No,No,0,5.0,164,2.5,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,Other Leads,Mumbai,No,No,Email Opened
7450,ae86b246-0714-4bee-ae4a-d0c023fb6147,592422,API,Olark Chat,No,No,1,2.0,1062,1.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
7452,f710a378-dd14-4f53-a3fc-a9579e03d91e,592415,Landing Page Submission,Google,No,No,1,6.0,798,6.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7453,93341e5d-24f8-4ee7-8b45-01a6aaaf2e4e,592414,Landing Page Submission,Organic Search,No,No,1,3.0,1090,3.0,SMS Sent,India,IT Projects Management,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Metro Cities,No,No,SMS Sent
7468,e4389ef0-15bf-4348-8d9c-260013cc1415,592345,Landing Page Submission,Direct Traffic,No,No,0,5.0,1224,5.0,SMS Sent,Saudi Arabia,Business Administration,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,No,SMS Sent
7490,50f485d9-fe6b-463b-a933-3b46629609f2,592198,Landing Page Submission,Google,No,No,1,5.0,1335,5.0,SMS Sent,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
7496,70c0b004-8022-4fd3-8a2e-eecd7851c3c3,592130,Landing Page Submission,Google,No,No,1,6.0,1522,3.0,SMS Sent,India,Supply Chain Management,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
7498,27a1bf72-564f-408f-8680-9a57c7f5c430,592113,Landing Page Submission,Organic Search,No,No,1,6.0,36,3.0,SMS Sent,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Metro Cities,No,Yes,SMS Sent
7526,cf865ffb-e33f-478d-b524-cafb687e0263,591837,Landing Page Submission,Google,No,No,1,4.0,665,4.0,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
7537,13080004-1399-427b-93c8-c0c26aa3f3f7,591793,Lead Add Form,Reference,No,No,1,27.0,350,5.4,Email Opened,India,Healthcare Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
7538,e0c8fc79-8683-4eee-9dcd-e100d7970a61,591788,Landing Page Submission,Google,No,No,0,2.0,1410,2.0,Email Opened,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Other Cities,No,No,Modified
7570,ceacb9fe-ffc6-42b4-84bd-e50421595cb7,591602,Landing Page Submission,Google,No,No,1,4.0,370,4.0,SMS Sent,India,Marketing Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
7627,33ff6ee3-03d7-4a94-9fa7-fb56b7d604df,591313,Landing Page Submission,Google,No,No,1,5.0,1862,5.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7767,760982f9-b6f4-4bd4-b800-d25a1f28d9f7,590263,Landing Page Submission,Google,No,No,1,13.0,846,1.63,Page Visited on Website,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
7771,19e85c56-a433-4016-81a9-c4b7bbe2b6d5,590239,Landing Page Submission,Google,No,No,0,2.0,57,2.0,Page Visited on Website,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Modified
7772,bce7f865-2997-4a54-bb1c-3693966a428c,590238,Landing Page Submission,Google,No,No,1,4.0,635,2.0,Email Opened,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
7774,21aeda6a-dbc1-4398-9d9c-aefd7b1fd4bc,590200,Landing Page Submission,Google,No,No,1,8.0,931,1.6,Page Visited on Website,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Other Leads,Thane & Outskirts,No,No,Page Visited on Website
7778,8e71e6bb-f5a2-45ca-9290-74d65322b49a,590171,Landing Page Submission,Google,No,No,0,2.0,305,2.0,Converted to Lead,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Modified
7787,1b803a19-aa78-4c9e-b55c-5c6a657973e1,590115,Landing Page Submission,Google,Yes,No,0,3.0,1158,3.0,Email Bounced,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
7832,29a2a5d1-7342-4d2d-a76a-ac9a7730f464,589730,Landing Page Submission,Google,No,No,1,4.0,1343,4.0,Email Link Clicked,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
7856,924ad2cb-4c83-486c-b739-7398f1fafffb,589518,Landing Page Submission,Direct Traffic,No,No,1,8.0,642,2.0,Email Opened,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
7888,2016bb83-5e1e-4914-ab5c-efe367d42747,589334,Landing Page Submission,Google,No,No,1,4.0,1194,4.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7893,c1b12959-1449-43be-8184-cfafe0b11675,589305,Landing Page Submission,Google,No,No,1,19.0,1845,2.71,Email Opened,India,Marketing Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7912,42033d0b-8d48-4201-9885-43840689c659,589116,Landing Page Submission,Google,No,No,1,3.0,35,3.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
7952,e3dd8a9d-459c-4c07-88b1-1510ac4bbf07,588850,Landing Page Submission,Google,No,No,1,5.0,1694,5.0,Email Opened,India,Marketing Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
7993,d884c473-33d2-4d31-827b-dc61a953f1eb,588589,Landing Page Submission,Google,No,No,1,6.0,1069,2.0,SMS Sent,Hong Kong,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,SMS Sent
8031,daae83bb-59b6-4acb-94c8-f2ef2b548d99,588203,Landing Page Submission,Direct Traffic,No,No,0,3.0,431,3.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Low in Relevance,No,No,Other Leads,Other Cities,No,No,Email Opened
8053,206b8f7d-321d-42af-ba15-b60694b2a797,588107,Landing Page Submission,Google,No,No,1,3.0,1283,3.0,SMS Sent,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8061,16661215-1e1e-494e-b72f-1492d2b80450,588088,Landing Page Submission,Google,No,No,1,3.0,1191,3.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Dual Specialization Student,Mumbai,No,No,Email Opened
8164,eab5cbce-25a5-4fb7-89fe-f5168e674834,587484,Landing Page Submission,Google,No,No,1,4.0,692,4.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
8173,a7a2087c-4f31-4b71-ba62-f117894334d8,587418,Landing Page Submission,Google,Yes,No,1,4.0,1269,2.0,Email Bounced,India,Business Administration,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
8189,b73f2a9c-cccf-44dc-8a8b-b1b49d50042b,587356,Landing Page Submission,Organic Search,No,No,1,19.0,265,3.8,Had a Phone Conversation,India,Human Resource Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Want to take admission but has financial problems,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Had a Phone Conversation
8213,01c951dd-cebb-4d54-8d06-4b9f3919d0c7,587225,Landing Page Submission,Google,No,No,1,4.0,1264,4.0,Had a Phone Conversation,India,Marketing Management,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
8220,0b434c82-d61a-47ce-bb69-a368aed144eb,587135,Landing Page Submission,Google,No,No,1,5.0,1388,5.0,SMS Sent,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,SMS Sent
8229,df0c5e09-5263-489d-9c93-ebaa0644bb77,587089,Landing Page Submission,Organic Search,No,No,1,9.0,1105,2.25,Email Opened,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
8230,3d3838be-070a-40e0-93e6-c53d4880e6fc,587083,Landing Page Submission,Direct Traffic,Yes,No,0,42.0,1148,3.82,Page Visited on Website,India,Others,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Thane & Outskirts,No,No,Modified
8239,3d7b39fc-ef50-4acd-9a81-18fbd5af4be2,587028,Landing Page Submission,Google,No,No,1,3.0,1381,3.0,SMS Sent,India,Retail Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8274,04957a18-6004-4c24-a714-6dcd7163a5cc,586693,Landing Page Submission,Direct Traffic,No,No,0,4.0,12,2.0,Converted to Lead,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Thane & Outskirts,No,No,Modified
8284,db3b133d-f7ce-46a5-bfc5-d08318e3d3eb,586633,Landing Page Submission,Google,No,No,1,6.0,329,3.0,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Mumbai,No,No,Email Opened
