Option,Explanation
--ui-show-composited-layer-borders ,No description
--ui-show-fps-counter ,No description
--ui-show-layer-animation-bounds ,No description
--ui-show-paint-rects ,No description
--ui-show-property-changed-rects ,No description
--ui-show-screenspace-rects ,No description
--ui-show-surface-damage-rects ,No description
--ui-slow-animations ,No description
--uninstall[1] ,Runs un-installation steps that were done by chrome first-run.
--unlimited-storage ,Overrides per-origin quota settings to unlimited storage for any apps/origins. This should be used only for testing purpose.
--unsafely-allow-protected-media-identifier-for-domain ,"For automated testing of protected content, this switch allows specific domains (e.g. example.com) to skip asking the user for permission to share the protected media identifier. In this context, domain does not include the port number. User's content settings will not be affected by enabling this switch. Reference: http://crbug.com/718608 Example: --unsafely-allow-protected-media-identifier-for-domain=a.com,b.ca"
--unsafely-treat-insecure-origin-as-secure ,"Treat given (insecure) origins as secure origins. Multiple origins can be supplied as a comma-separated list. For the definition of secure contexts, see https://w3c.github.io/webappsec-secure-contexts/ and https://www.w3.org/TR/powerful-features/#is-origin-trustworthy Example: --unsafely-treat-insecure-origin-as-secure=http://a.test,http://b.test"
--upgrade-token ,No description
--upload-log-file ,Specifies the full path to a protocol buffer log file to be uploaded.
--use-angle ,"Select which ANGLE backend to use. Options are: default: Attempts several ANGLE renderers until one successfully initializes, varying ES support by platform. d3d9: Legacy D3D9 renderer, ES2 only. d3d11: D3D11 renderer, ES2 and ES3. warp: D3D11 renderer using software rasterization, ES2 and ES3. gl: Desktop GL renderer, ES2 and ES3. gles: GLES renderer, ES2 and ES3."
--use-cmd-decoder ,"Use the Pass-through command decoder, skipping all validation and state tracking. Switch lives in ui/gl because it affects the GL binding initialization on platforms that would otherwise not default to using EGL bindings."
--use-cras[20] ,"Use CRAS, the ChromeOS audio server."
--use-crash-handler-in-tests ,"If present, the test harness will use the crash reporter."
--use-crash-handler-with-id ,Specifies the IPC pipe name of the crash handler to use (instead of starting a new crash handler process).
--use-fake-codec-for-peer-connection ,Replaces the existing codecs supported in peer connection with a single fake codec entry that create a fake video encoder and decoder.
--use-fake-device-for-media-stream ,Use fake device for Media Stream to replace actual camera and microphone.
--use-fake-mjpeg-decode-accelerator ,"Use a fake device for accelerated decoding of MJPEG. This allows, for example, testing of the communication to the GPU service without requiring actual accelerator hardware to be present."
--use-fake-ui-for-media-stream ,Bypass the media stream infobar by selecting the default device for media streams (e.g. WebRTC). Works with --use-fake-device-for-media-stream.
--use-file-for-fake-audio-capture ,"Play a .wav file as the microphone. Note that for WebRTC calls we'll treat the bits as if they came from the microphone, which means you should disable audio processing (lest your audio file will play back distorted). The input file is converted to suit Chrome's audio buses if necessary, so most sane .wav files should work. You can pass either <path> to play the file looping or <path>%noloop to stop after playing the file to completion."
--use-file-for-fake-video-capture ,Use an .y4m file to play as the webcam. See the comments in media/capture/video/file_video_capture_device.h for more details.
--use-first-display-as-internal ,Uses the 1st display in --ash-host-window-bounds as internal display. This is for debugging on linux desktop.
--use-gl ,Select which implementation of GL the GPU process should use. Options are: desktop: whatever desktop OpenGL the user has installed (Linux and Mac default). egl: whatever EGL / GLES2 the user has installed (Windows default - actually ANGLE). swiftshader: The SwiftShader software renderer.
--use-gpu-high-thread-priority-for-perf-tests ,Increases the priority (to REALTIME_AUDIO) of gpu process and compositor thread. This is only to be used for perf tests on macOS for more reliable values.
--use-gpu-in-tests ,"Use hardware gpu, if available, for tests."
--use-mobile-user-agent ,Set when Chromium should use a mobile user agent.
--use-mock-cert-verifier-for-testing ,Use the MockCertVerifier. This only works in test code.
--use-mock-keychain[7] ,No description
--use-system-default-printer[21] ,"Uses the system default printer as the initially selected destination in print preview, instead of the most recently used destination."
--use-temp-registry-path ,Override the registry with the specified temporary registry. Used for tests.
--use-viz-hit-test-surface-layer ,"Enables the viz hit-test logic (HitTestAggregator and HitTestQuery), with hit-test data coming from surface layer."
--use-vulkan ,"Enable Vulkan support and select Vulkan implementation, must also have ENABLE_VULKAN defined."
--user-agent ,A string used to override the default user agent with a custom one.
--user-always-affiliated ,Always treat user as affiliated. TODO(antrim): Remove once test servers correctly produce affiliation ids.
--user-data-dir ,Directory where the browser stores the user profile.
--user-gesture-required ,Autoplay policy to require a user gesture in order to play.
--user-response-timeout ,"Set the timeout for how long to wait for user response from Chrome, in minutes. 0 disables the timeout entirely."
--utility ,No description
--utility-and-browser ,No description
--utility-cmd-prefix ,"The contents of this flag are prepended to the utility process command line. Useful values might be ""valgrind"" or ""xterm -e gdb --args""."
--utility-sampling ,No description
--utility-startup-dialog ,Causes the utility process to display a dialog on launch.
--v ,Gives the default maximal active V-logging level; 0 is the default. Normally positive values are used for V-logging levels.
--v8-cache-options ,"Set options to cache V8 data. (off, preparse data, or code)"
--validate-crx ,Examines a .crx for validity and prints the result.
--validate-input-event-stream ,"In debug builds, asserts that the stream of input events is valid."
--validating ,The command decoder names that can be passed to --use-cmd-decoder.
--variations-insecure-server-url ,Specifies a custom URL for the server to use as an insecure fallback when requests to |kVariationsServerURL| fail. Requests to this URL will be encrypted.
--variations-override-country ,"Allows overriding the country used for evaluating variations. This is similar to the ""Override Variations Country"" entry on chrome://translate-internals, but is exposed as a command-line flag to allow testing First Run scenarios. Additionally, unlike chrome://translate-internals, the value isn't persisted across sessions."
--variations-server-url ,Specifies a custom URL for the server which reports variation data to the client. Specifying this switch enables the Variations service on unofficial builds. See variations_service.cc.
--version ,No description
--video-image-texture-target ,Texture target for CHROMIUM_image backed video frame textures.
--video-threads ,Set number of threads to use for video decoding.
--video-underflow-threshold-ms ,Allows clients to override the threshold for when the media renderer will declare the underflow state for the video stream when audio is present. TODO(dalecurtis): Remove once experiments for http://crbug.com/470940 finish.
--virtual-time-budget ,"If set the system waits the specified number of virtual milliseconds before deeming the page to be ready. For determinism virtual time does not advance while there are pending network fetches (i.e no timers will fire). Once all network fetches have completed, timers fire and if the system runs out of virtual time is fastforwarded so the next timer fires immediatley, until the specified virtual time budget is exhausted."
--vmodule ,"Gives the per-module maximal V-logging levels to override the value given by --v. E.g. ""my_module=2,foo*=3"" would change the logging level for all code in source files ""my_module.*"" and ""foo*.*"" (""-inl"" suffixes are also disregarded for this matching). Any pattern containing a forward or backward slash will be tested against the whole pathname and not just the module. E.g., ""*/foo/bar/*=2"" would change the logging level for all code in source files under a ""foo/bar"" directory."
--vsync-interval ,Overrides the vsync interval used by the GPU process to refresh the display.
--vulkan ,No description
--vulkan-null ,No description
--wait-for-debugger ,Will wait for 60 seconds for a debugger to come to attach to the process.
--wait-for-debugger-children ,"Will add kWaitForDebugger to every child processes. If a value is passed, it will be used as a filter to determine if the child process should have the kWaitForDebugger flag passed on or not."
--wait-for-initial-policy-fetch-for-test ,Used to tell the policy infrastructure to not let profile initialization complete until policy is manually set by a test. This is used to provide backward compatibility with a few tests that incorrectly use the synchronously-initialized login profile to run their tests - do not add new uses of this flag.
--wake-on-wifi-packet ,"Enables wake on wifi packet feature, which wakes the device on the receipt of network packets from whitelisted sources."
--wallet-service-use-sandbox ,Use the sandbox Online Wallet service URL (for developer testing).
--watcher[1] ,Causes the process to run as a watcher process.
--waveout-buffers[1] ,Number of buffers to use for WaveOut.
--webapk-server-url[8] ,Custom WebAPK server URL for the sake of testing.
--webgl-antialiasing-mode ,"Set the antialiasing method used for webgl. (none, explicit, implicit, or screenspace)"
--webgl-msaa-sample-count ,Set a default sample count for webgl if msaa is enabled.
--webrtc-event-log-proactive-pruning-delta ,"Sets the delay (in seconds) between proactive prunings of remote-bound WebRTC event logs which are pending upload. All positive values are legal. All negative values are illegal, and ignored. If set to 0, the meaning is ""no proactive pruning""."
--webrtc-event-log-upload-delay-ms ,WebRTC event logs will only be uploaded if the conditions hold for this many milliseconds.
--webrtc-event-log-upload-no-suppression ,"Normally, remote-bound WebRTC event logs are uploaded only when no peer connections are active. With this flag, the upload is never suppressed."
--webrtc-event-logging ,Enable capture and local storage of WebRTC event logs without visiting chrome://webrtc-internals. This is useful for automated testing. It accepts the path to which the local logs would be stored. Disabling is not possible without restarting the browser and relaunching without this flag.
--webrtc-max-cpu-consumption-percentage ,Configure the maximum CPU time percentage of a single core that can be consumed for desktop capturing. Default is 50. Set 100 to disable the throttling of the capture.
--webrtc-stun-probe-trial ,Renderer process parameter for WebRTC Stun probe trial to determine the interval. Please see SetupStunProbeTrial in chrome_browser_field_trials_desktop.cc for more detail.
--webview-disable-safebrowsing-support ,used to disable safebrowsing functionality in webview
--webview-enable-shared-image ,Used to enable shared image API for webview.
--webview-enable-vulkan ,Used to enable vulkan draw mode instead of interop draw mode for webview.
--webview-log-js-console-messages ,No description
--webview-sandboxed-renderer ,No description
--whitelisted-extension-id ,Adds the given extension ID to all the permission whitelists.
--win-jumplist-action ,Specifies which category option was clicked in the Windows Jumplist that resulted in a browser startup.
--window-position ,"Specify the initial window position: --window-position=x,y"
--window-size ,"Sets the initial window size. Provided as string in the format ""800,600""."
--window-workspace ,Specify the initial window workspace: --window-workspace=id
--winhttp-proxy-resolver ,"Uses WinHTTP to fetch and evaluate PAC scripts. Otherwise the default is to use Chromium's network stack to fetch, and V8 to evaluate."
--with-cleanup-mode-logs ,Identify that the elevated cleaner process is allowed to collect logs. This shouldn't be set if |kExecutionModeSwitch| is not ExecutionMode::kCleaner.
--wm-window-animations-disabled ,If present animations are disabled.
--xr_compositing ,No description
--zygote ,Causes the process to run as a zygote.
